categoryId,difficulty,title,path,sourceLine,topicId
"ap_cv","C","Dilated cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Dilated cardiomyopathy","1220","facf68e3-1ae4-428f-95a2-28ad00ee0a2c"
"ap_cv","AR","Hypertrophic cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hypertrophic cardiomyopathy","1221","982aa0c6-fc22-43f3-aa69-c71b22629762"
"ap_cv","AR","Secondary cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Secondary cardiomyopathy","1223","9402bc65-1c9f-463b-8e16-f7ea5c503f63"
"ap_cv","F","Anthracycline cardiotoxicity","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Anthracycline cardiotoxicity","1224","8bd5b21d-1ada-4a38-afac-684ad42617cb"
"ap_cv","AR","Valve anomalies","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Valve anomalies","1239","ad26dcef-3ee1-4ec7-b855-f1d0f56835a2"
"ap_cv","AR","Hereditary diseases of blood vessels","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hereditary diseases of blood vessels","1240","eda5dcfd-fdc6-458a-b8b6-6dbf81dfaa13"
"ap_cv","AR","Marfan syndrome","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Marfan syndrome","1241","e4979bb3-0f6e-4a83-bb59-a28c5f493dfb"
"ap_cv","F","Non-Marfan familial aortic dissection","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Non-Marfan familial aortic dissection","1242","03f34c0f-9d7f-4179-a14a-1de5dfb8eeb5"
"ap_cv","C","Ehlers-Danlos syndrome","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Non-Marfan familial aortic dissection > Ehlers-Danlos syndrome","1243","2d32a809-446a-452e-9321-787efb2a478f"
"ap_cv","F","Other hereditary diseases of blood vessels","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Other hereditary diseases of blood vessels","1244","defc4ac0-de39-493f-82e8-64e64aedc1a6"
"ap_cv","C","Primary cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Primary cardiomyopathy","1245","f4326c88-31a3-4d1e-a886-80e66507a039"
"ap_cv","F","Secondary cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Secondary cardiomyopathy","1250","23ab8150-61d1-4c70-8902-35ddc929fb45"
"ap_cv","C","Vasculitis","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Vasculitis","1319","c47df9a9-4bd1-45a5-a431-2bbf77a24058"
"ap_cv","AR","Takayasu disease","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Takayasu disease","1321","48aa46b3-634c-4407-8d93-5d8f880c20c4"
"ap_cv","AR","Kawasaki disease","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Kawasaki disease","1323","73b42530-dac5-4a76-abdb-15a8cd8cc018"
"ap_cv","C","Buerger disease","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Buerger disease","1328","c2e622de-f2eb-4d9c-82b1-9e8ccd98bd9e"
"ap_cv","C","Lymphocytic myocarditis","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Lymphocytic myocarditis","1332","49fc4c22-9c00-40c5-806e-d6defdaf5840"
"ap_cv","AR","Rheumatic fever","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Rheumatic fever","1333","d09006e1-180c-474a-b9c1-4225561d2634"
"ap_cv","AR","Drug-related myocarditis","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Drug-related myocarditis","1336","cef13614-ce30-4b10-9ed5-f7680f94bcaa"
"ap_cv","F","Toxic myocarditis","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Toxic myocarditis","1337","c3e38682-47cc-4323-a968-496a79444315"
"ap_cv","AR","Secondary cardiomyopathy","Cardiovascular > Normal Anatomy and Histology > Secondary cardiomyopathy","1341","d78994df-18e6-4855-b880-bcf160d351a9"
"ap_cv","AR","Amyloidosis","Cardiovascular > Normal Anatomy and Histology > Secondary cardiomyopathy > Amyloidosis","1342","8d4ed81e-9738-48af-a1c4-6ffb3126dfc3"
"ap_cv","AR","Cardiac myxoma","Cardiovascular > Normal Anatomy and Histology > Secondary cardiomyopathy > Cardiac myxoma","1368","65d4ea42-7606-4a85-99e0-5742240ac137"
"ap_cv","AR","Rhabdomyoma","Cardiovascular > Normal Anatomy and Histology > Secondary cardiomyopathy > Rhabdomyoma","1369","f40383dd-52ba-4a0b-bb34-a12ca842a6e8"
